task_id,suite,scenario,algorithm,repeat,seed,scenario_parameters,avg_estimated_delay,avg_dynamic_operation_reliability,avg_dynamic_accuracy_reliability,avg_total_energy,rejected_or_failed_count,runtime_ms
sensitivity:population_20:b8111cf892:customized:repeat_0:seed_20260719,sensitivity,population_20,customized,0,20260719,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""population_20"", ""population_size"": 20, ""preference"": ""adaptive"", ""suite"": ""sensitivity"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",601.9404225921695,0.11189043574852892,0.799707625446256,7051.093209230134,1,24140
sensitivity:population_20:b8111cf892:customized:repeat_1:seed_20260720,sensitivity,population_20,customized,1,20260720,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""population_20"", ""population_size"": 20, ""preference"": ""adaptive"", ""suite"": ""sensitivity"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",531.4535422590368,0.15145910972690188,0.7485974333522053,6903.216461571115,2,24822
sensitivity:population_20:b8111cf892:customized:repeat_2:seed_20260721,sensitivity,population_20,customized,2,20260721,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""population_20"", ""population_size"": 20, ""preference"": ""adaptive"", ""suite"": ""sensitivity"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",485.4106105670946,0.12146521781046492,0.7320855221881873,6476.124426367489,1,24462
sensitivity:population_20:b8111cf892:customized:repeat_3:seed_20260722,sensitivity,population_20,customized,3,20260722,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""population_20"", ""population_size"": 20, ""preference"": ""adaptive"", ""suite"": ""sensitivity"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",570.019668992373,0.12836741720850536,0.7709941957363475,7163.187277618717,1,24490
sensitivity:population_20:b8111cf892:customized:repeat_4:seed_20260723,sensitivity,population_20,customized,4,20260723,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""population_20"", ""population_size"": 20, ""preference"": ""adaptive"", ""suite"": ""sensitivity"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",540.4069532621594,0.1763276288858933,0.8123245309520448,6474.275274109505,3,23261
sensitivity:population_20:b8111cf892:customized:repeat_5:seed_20260724,sensitivity,population_20,customized,5,20260724,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""population_20"", ""population_size"": 20, ""preference"": ""adaptive"", ""suite"": ""sensitivity"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",605.2021211276932,0.1344748179037924,0.7909411766857876,6701.691884110099,2,23772
sensitivity:population_20:b8111cf892:customized:repeat_6:seed_20260725,sensitivity,population_20,customized,6,20260725,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""population_20"", ""population_size"": 20, ""preference"": ""adaptive"", ""suite"": ""sensitivity"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",585.0873875159002,0.1268507422337454,0.7840697879967751,7378.051386847227,2,25443
sensitivity:population_20:b8111cf892:customized:repeat_7:seed_20260726,sensitivity,population_20,customized,7,20260726,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""population_20"", ""population_size"": 20, ""preference"": ""adaptive"", ""suite"": ""sensitivity"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",534.5053604428739,0.11563585425187888,0.7345772453690315,7687.627597657591,3,25007
sensitivity:population_20:b8111cf892:customized:repeat_8:seed_20260727,sensitivity,population_20,customized,8,20260727,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""population_20"", ""population_size"": 20, ""preference"": ""adaptive"", ""suite"": ""sensitivity"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",541.8185518662913,0.15343100002099394,0.754040656212034,6973.546379950259,3,25190
sensitivity:population_20:b8111cf892:customized:repeat_9:seed_20260728,sensitivity,population_20,customized,9,20260728,"{""alpha_a"": 0.5, ""alpha_l"": 0.7, ""alpha_r"": 0.8, ""beta_a"": 0.3, ""beta_l"": 0.4, ""beta_r"": 0.5, ""cloud_count"": 1, ""crossover_probability"": 0.5, ""dnn_count"": 30, ""edge_count"": 10, ""edge_link_factor"": 2.0, ""iteration_limit"": 200, ""lambda_g"": 0.7, ""lambda_h"": 0.7, ""mutation_probability"": 0.25, ""name"": ""population_20"", ""population_size"": 20, ""preference"": ""adaptive"", ""suite"": ""sensitivity"", ""use_dag_aware_initialization"": true, ""use_dag_block_crossover"": true, ""use_elite_local_search"": true, ""use_skew_mutation"": true, ""user_count"": null}",539.397013278137,0.1077655426697047,0.7229195531853745,6782.943913177122,0,24706
