task_id,experiment_layer,protocol_version,suite,scenario,comparison_group,comparison_method,algorithm,repeat,seed,search_budget_id,objective_semantics_version,instance_count,feasible_instances,feasible_rate,mean_candidate_count,mean_evaluations,mean_constraint_rejection_rate,mean_nonconvergence_rate,mean_archive_size,mean_hypervolume,avg_estimated_delay_ms,avg_operational_stability_score,avg_total_energy,search_runtime_ms
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r0:s20260719,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,0,20260719,p12_g4_a64,stability_delay_energy_v4,30,26,0.8666666666666667,2.6333333333333333,21.5,0.6515871717244266,0.0,2.6333333333333333,0.3087762546688836,635.568376928056,0.8510854514009173,6530.596129620419,1454.3767898576334
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r1:s20260720,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,1,20260720,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,3.533333333333333,22.933333333333334,0.5349401108962513,0.0,3.533333333333333,0.39124988042409453,533.0016008603512,0.8547797256205335,7541.4314901301195,1629.6325428411365
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r2:s20260721,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,2,20260721,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,2.7666666666666666,22.5,0.6435608920082115,0.0,2.7666666666666666,0.33679294976096297,622.3802001395107,0.8502500129707949,6744.796526666822,1575.4251199541613
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r3:s20260722,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,3,20260722,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,2.966666666666667,22.1,0.6143240065977938,0.0,2.966666666666667,0.3692082537445789,567.6386783320867,0.8561834855019105,6447.88319340044,1647.417500964366
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r4:s20260723,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,4,20260723,p12_g4_a64,stability_delay_energy_v4,30,26,0.8666666666666667,3.3333333333333335,23.466666666666665,0.5964245510859737,0.0,3.3333333333333335,0.36013342513505947,558.5437392267193,0.8511442863536307,8284.462974987946,1669.7327510919422
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r5:s20260724,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,5,20260724,p12_g4_a64,stability_delay_energy_v4,30,25,0.8333333333333334,3.3666666666666667,22.166666666666668,0.6393895695310413,0.0,3.3666666666666667,0.35199656882528246,649.2460442819543,0.839253845729258,6291.959562806798,1541.7248338926584
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r6:s20260725,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,6,20260725,p12_g4_a64,stability_delay_energy_v4,30,26,0.8666666666666667,3.0,22.766666666666666,0.5914727706052987,0.0,3.0,0.3575833308030902,608.563736361065,0.8559397171439926,7474.201319425696,1670.6432941136882
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r7:s20260726,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,7,20260726,p12_g4_a64,stability_delay_energy_v4,30,26,0.8666666666666667,2.3,21.266666666666666,0.6645333116141772,0.0,2.3,0.30692089822829216,590.8650729400188,0.8636508439334917,9479.364891135992,1748.8594590686262
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r8:s20260727,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,8,20260727,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,3.533333333333333,21.733333333333334,0.5650670166881914,0.0,3.533333333333333,0.38702259253490534,558.4674811341605,0.8521236013384397,8207.948036465028,1633.4699600702152
search_quality:isolated_snapshot_v1:search_quality:702a70b8c5d05eb4:customized:r9:s20260728,search_quality,isolated_snapshot_v1,search_quality,customized_medium,search_quality,customized_medium,customized,9,20260728,p12_g4_a64,stability_delay_energy_v4,30,27,0.9,2.433333333333333,23.533333333333335,0.6216997835381972,0.0,2.433333333333333,0.36737376545424905,606.7637204848598,0.8631440294810285,7551.846838487723,1846.6932865558192
