task_id,suite,scenario,comparison_group,comparison_method,repeat,seed,experiment_layer,protocol_version,algorithm,candidate_generator_mode,search_budget_id,bootstrap_mode_config,online_timing_mode,planning_timing_mode,pool_budget_mode,lambda_per_slot,topology_hash,profile_catalog_hash,workload_trace_hash,environment_trace_hash,arrival_slots,elapsed_slots,arrived_requests,accepted_requests,rejected_requests,completed_requests,runtime_failed_requests,deadline_missed_requests,unfinished_requests,goodput_utility,avg_estimated_delay_ms,avg_operational_stability_score,avg_total_energy,plan_direct_count,plan_repaired_count,fast_fallback_count,per_request_customized_count,online_baseline_count,planning_jobs_started,planning_jobs_published,planning_jobs_retained,total_planning_runtime_ms,total_online_runtime_ms,avg_online_runtime_ms,p95_online_runtime_ms,publication_valid_candidates,publication_rejected_candidates,objective_semantics_version,acceptance_rate,completion_rate,runtime_failure_rate,plan_direct_rate,plan_repaired_rate,fast_fallback_rate
system_poisson:poisson_lifecycle_v1:load:29099f8fc93f273e:periodic_customized:r0:s20260719,load,lambda_0.1_periodic_customized,lambda_0.1,periodic_customized,0,20260719,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_total,0.1,6d295842eb0296d0,fca0df0e76e8aea8,1a1368a7502ffd8c,c3ade63673949cb4,200,200,13,11,2,10,1,0,0,0.3564649907330704,617.8259927319137,0.9020140133923467,4218.982440169658,11,0,0,0,0,45,43,1,6770.801877137274,39.01724889874458,3.001326838364968,4.620749969035387,389,61,stability_delay_energy_v4,0.8461538461538461,0.7692307692307693,0.09090909090909091,0.8461538461538461,0.0,0.0
system_poisson:poisson_lifecycle_v1:load:29099f8fc93f273e:periodic_customized:r1:s20260720,load,lambda_0.1_periodic_customized,lambda_0.1,periodic_customized,1,20260720,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_total,0.1,a4f53f5438a025fd,a0ac5e6d1accb3ff,db84540cdd45769d,4948b9b559ca3dae,200,200,16,12,4,11,1,0,0,0.3933448043935389,669.031641328725,0.8529236330252153,6344.461430509527,9,2,1,0,0,44,41,2,8694.226666702889,35.54775100201368,2.221734437625855,6.979792029596865,284,33,stability_delay_energy_v4,0.75,0.6875,0.08333333333333333,0.5625,0.125,0.0625
system_poisson:poisson_lifecycle_v1:load:29099f8fc93f273e:periodic_customized:r2:s20260721,load,lambda_0.1_periodic_customized,lambda_0.1,periodic_customized,2,20260721,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_total,0.1,e1936cba343be935,938f95453f2442e2,a9f529c33a0c0772,b3c97759fa661993,200,200,16,13,3,13,0,0,0,0.5401724603618544,404.774303235874,0.8613589372189809,4874.837165824242,11,1,1,0,0,42,39,3,8994.746040203609,51.99741886463016,3.249838679039385,5.518167046830058,460,147,stability_delay_energy_v4,0.8125,0.8125,0.0,0.6875,0.0625,0.0625
system_poisson:poisson_lifecycle_v1:load:29099f8fc93f273e:periodic_customized:r3:s20260722,load,lambda_0.1_periodic_customized,lambda_0.1,periodic_customized,3,20260722,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_total,0.1,cad518de228dec43,e2c448830ab998d5,a1065c41e0c1485e,a8d64a668c29fff0,200,200,20,15,5,14,1,0,0,0.542771429022998,526.1647672581872,0.8671068347906158,4667.447427895014,14,0,1,0,0,46,46,0,8182.461751624942,55.80350011587143,2.7901750057935715,5.342207965441048,485,80,stability_delay_energy_v4,0.75,0.7,0.06666666666666667,0.7,0.0,0.05
system_poisson:poisson_lifecycle_v1:load:29099f8fc93f273e:periodic_customized:r4:s20260723,load,lambda_0.1_periodic_customized,lambda_0.1,periodic_customized,4,20260723,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_total,0.1,85e4775618fc9271,04cc006508118ace,f39d4ae46d39844b,7df8c4f9894fbd11,200,200,20,15,5,14,1,0,0,0.5484163982277954,562.0693612751531,0.8766665537543399,5813.861477064344,13,1,1,0,0,44,35,8,8494.62566303555,63.59749904368073,3.1798749521840364,4.869750002399087,349,86,stability_delay_energy_v4,0.75,0.7,0.06666666666666667,0.65,0.05,0.05
system_poisson:poisson_lifecycle_v1:load:29099f8fc93f273e:periodic_customized:r5:s20260724,load,lambda_0.1_periodic_customized,lambda_0.1,periodic_customized,5,20260724,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_total,0.1,d24fe9836276a23a,5f88dfc591596c91,316df9c95c3b7308,c61766e5adeaf7a9,200,203,32,27,5,25,2,0,0,0.9575164384318068,504.88982074405243,0.85479146851478,4159.330196901729,21,4,2,0,0,48,42,6,7630.969710997306,77.53583125304431,2.4229947266576346,4.277082975022495,315,60,stability_delay_energy_v4,0.84375,0.78125,0.07407407407407407,0.65625,0.125,0.0625
system_poisson:poisson_lifecycle_v1:load:29099f8fc93f273e:periodic_customized:r6:s20260725,load,lambda_0.1_periodic_customized,lambda_0.1,periodic_customized,6,20260725,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_total,0.1,26abbdd9b75bc615,fc04fea1c464df4f,40245dc6c76b5ccf,b0aa21bae96916c6,200,203,22,14,8,14,0,0,0,0.5229642893827862,607.4018282415497,0.8757956736419502,4932.523521255808,12,1,1,0,0,46,41,4,7789.623792399652,42.87124995607883,1.9486931798217648,3.867833991535008,290,70,stability_delay_energy_v4,0.6363636363636364,0.6363636363636364,0.0,0.5454545454545454,0.045454545454545456,0.045454545454545456
system_poisson:poisson_lifecycle_v1:load:29099f8fc93f273e:periodic_customized:r7:s20260726,load,lambda_0.1_periodic_customized,lambda_0.1,periodic_customized,7,20260726,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_total,0.1,cfb348bc73ed6b08,6c2f0ddd78fdc176,65e967f2a559afca,5d8d75c05ac19d95,200,200,18,14,4,13,1,0,0,0.4728522516425581,818.2293713093197,0.8453620582275242,6772.152516041822,13,0,1,0,0,42,35,7,8423.75824751798,51.99733329936862,2.888740738853812,12.15800002682954,273,48,stability_delay_energy_v4,0.7777777777777778,0.7222222222222222,0.07142857142857142,0.7222222222222222,0.0,0.05555555555555555
system_poisson:poisson_lifecycle_v1:load:29099f8fc93f273e:periodic_customized:r8:s20260727,load,lambda_0.1_periodic_customized,lambda_0.1,periodic_customized,8,20260727,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_total,0.1,77262aef7c650c15,adddb8a44db4224c,f2ad514990b2cc90,5f427e7b1456da70,200,200,16,14,2,13,1,1,0,0.4296834560745005,715.2313395429629,0.8410989173747515,6816.810411370096,11,1,2,0,0,44,36,7,10046.934671001509,39.55208614934236,2.4720053843338974,5.60516701079905,358,65,stability_delay_energy_v4,0.875,0.8125,0.07142857142857142,0.6875,0.0625,0.125
system_poisson:poisson_lifecycle_v1:load:29099f8fc93f273e:periodic_customized:r9:s20260728,load,lambda_0.1_periodic_customized,lambda_0.1,periodic_customized,9,20260728,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_total,0.1,51994d7f38a9b2d2,94c502adeeb85260,22fc4efd87a4ea78,58651f60c37cc329,200,200,21,19,2,17,2,0,0,0.6722978191097745,479.2569425364723,0.8761833415006309,5259.135131654648,14,4,1,0,0,45,42,2,7974.801666103303,70.43325086124241,3.353964326725829,5.338124930858612,528,150,stability_delay_energy_v4,0.9047619047619048,0.8095238095238095,0.10526315789473684,0.6666666666666666,0.19047619047619047,0.047619047619047616
