task_id,suite,scenario,comparison_group,comparison_method,repeat,seed,experiment_layer,protocol_version,algorithm,candidate_generator_mode,search_budget_id,bootstrap_mode_config,online_timing_mode,planning_timing_mode,pool_budget_mode,lambda_per_slot,topology_hash,profile_catalog_hash,workload_trace_hash,environment_trace_hash,arrival_slots,elapsed_slots,arrived_requests,accepted_requests,rejected_requests,completed_requests,runtime_failed_requests,deadline_missed_requests,unfinished_requests,goodput_utility,avg_estimated_delay_ms,avg_operational_stability_score,avg_total_energy,plan_direct_count,plan_repaired_count,fast_fallback_count,per_request_customized_count,online_baseline_count,planning_jobs_started,planning_jobs_published,planning_jobs_retained,total_planning_runtime_ms,total_online_runtime_ms,avg_online_runtime_ms,p95_online_runtime_ms,publication_valid_candidates,publication_rejected_candidates,objective_semantics_version,acceptance_rate,completion_rate,runtime_failure_rate,plan_direct_rate,plan_repaired_rate,fast_fallback_rate
system_poisson:poisson_lifecycle_v1:scale:f1d09cd36f834fbb:periodic_customized:r0:s20260719,scale,small_periodic_customized_per_key,small_per_key,periodic_customized,0,20260719,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_per_key,0.5,22fa364dda0f82c3,20b7a9b5dd0494ff,0012504cea8ad89a,c3ade63673949cb4,200,204,117,42,75,39,3,0,0,1.3478492005709337,658.9882731846874,0.7806811158281225,3951.33423949168,33,3,6,0,0,63,26,36,1625.830712262541,165.6853740569204,1.416114308178807,2.863624948076904,40,25,stability_delay_energy_v4,0.358974358974359,0.3333333333333333,0.07142857142857142,0.28205128205128205,0.02564102564102564,0.05128205128205128
system_poisson:poisson_lifecycle_v1:scale:f1d09cd36f834fbb:periodic_customized:r1:s20260720,scale,small_periodic_customized_per_key,small_per_key,periodic_customized,1,20260720,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_per_key,0.5,d2e5a428fc517250,19ef7a578170cb8a,0d516b4b5bb81d53,4948b9b559ca3dae,200,206,103,39,64,38,1,2,0,1.344147916161524,584.5050711753219,0.7974835663992162,4019.285203176363,32,6,1,0,0,62,42,20,2735.3502042824402,114.85153739340603,1.1150634698388935,2.448291052132845,64,15,stability_delay_energy_v4,0.3786407766990291,0.36893203883495146,0.02564102564102564,0.3106796116504854,0.05825242718446602,0.009708737864077669
system_poisson:poisson_lifecycle_v1:scale:f1d09cd36f834fbb:periodic_customized:r2:s20260721,scale,small_periodic_customized_per_key,small_per_key,periodic_customized,2,20260721,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_per_key,0.5,502b261ca80126e0,2af542aea9f21fe2,5896dd62ad5f8c47,b3c97759fa661993,200,208,103,47,56,45,2,1,0,1.6111150020725937,569.1744690508528,0.785582244233872,4012.560598032481,34,12,1,0,0,66,31,34,2189.248294918798,161.62083798553795,1.5691343493741547,3.5229590721428394,48,18,stability_delay_energy_v4,0.4563106796116505,0.4368932038834951,0.0425531914893617,0.3300970873786408,0.11650485436893204,0.009708737864077669
system_poisson:poisson_lifecycle_v1:scale:f1d09cd36f834fbb:periodic_customized:r3:s20260722,scale,small_periodic_customized_per_key,small_per_key,periodic_customized,3,20260722,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_per_key,0.5,8ee88a1e510e345f,0619f74521cefa66,578373c3c748f6b0,a8d64a668c29fff0,200,200,89,10,79,7,3,0,0,0.22670979078657857,1364.636873599663,0.8033208339472366,6749.231791882403,10,0,0,0,0,51,15,36,2557.5873743509874,56.959913577884436,0.6399990289649936,2.363624982535839,16,3,stability_delay_energy_v4,0.11235955056179775,0.07865168539325842,0.3,0.11235955056179775,0.0,0.0
system_poisson:poisson_lifecycle_v1:scale:f1d09cd36f834fbb:periodic_customized:r4:s20260723,scale,small_periodic_customized_per_key,small_per_key,periodic_customized,4,20260723,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_per_key,0.5,e0adedb9d81004e3,fa95dc9e4546012a,f559e354d708840b,7df8c4f9894fbd11,200,201,88,28,60,23,5,0,0,0.8976032135304413,539.4613077179151,0.8043834051071819,3726.1804491703106,27,0,1,0,0,58,35,22,2095.903125591576,107.1097933454439,1.2171567425618626,2.9157919343560934,62,9,stability_delay_energy_v4,0.3181818181818182,0.26136363636363635,0.17857142857142858,0.3068181818181818,0.0,0.011363636363636364
system_poisson:poisson_lifecycle_v1:scale:f1d09cd36f834fbb:periodic_customized:r5:s20260724,scale,small_periodic_customized_per_key,small_per_key,periodic_customized,5,20260724,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_per_key,0.5,86f99463f71919bc,e0b620b7e7af568c,c7d7bf33a5ec4d92,c61766e5adeaf7a9,200,204,114,41,73,37,4,0,0,1.3527421352439626,610.8540019178939,0.7608219545791517,3628.423116095455,36,2,3,0,0,68,31,37,2657.2641623206437,163.7343760812655,1.4362664568532062,3.0120000010356307,42,20,stability_delay_energy_v4,0.35964912280701755,0.32456140350877194,0.0975609756097561,0.3157894736842105,0.017543859649122806,0.02631578947368421
system_poisson:poisson_lifecycle_v1:scale:f1d09cd36f834fbb:periodic_customized:r6:s20260725,scale,small_periodic_customized_per_key,small_per_key,periodic_customized,6,20260725,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_per_key,0.5,30f3524c4ea65cf8,551cfde08adbd958,695de540688f167e,b0aa21bae96916c6,200,203,80,17,63,17,0,1,0,0.6545329570260304,416.95106988379433,0.8251658737278849,4177.975610779425,13,3,1,0,0,52,39,12,2989.6600446663797,62.62270687147975,0.7827838358934969,3.033708082512021,55,11,stability_delay_energy_v4,0.2125,0.2125,0.0,0.1625,0.0375,0.0125
system_poisson:poisson_lifecycle_v1:scale:f1d09cd36f834fbb:periodic_customized:r7:s20260726,scale,small_periodic_customized_per_key,small_per_key,periodic_customized,7,20260726,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_per_key,0.5,779df9d1577fa871,4fcae4838c4fd7eb,f062a679a2ecf338,5d8d75c05ac19d95,200,200,101,15,86,14,1,1,0,0.5464907568242003,639.8314186638466,0.8890468487331641,7062.43186300018,15,0,0,0,0,52,39,12,3983.108371612616,66.64771062787622,0.6598783230482794,2.4284999817609787,52,6,stability_delay_energy_v4,0.1485148514851485,0.13861386138613863,0.06666666666666667,0.1485148514851485,0.0,0.0
system_poisson:poisson_lifecycle_v1:scale:f1d09cd36f834fbb:periodic_customized:r8:s20260727,scale,small_periodic_customized_per_key,small_per_key,periodic_customized,8,20260727,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_per_key,0.5,527cf0d084245536,fafb8d0218ce1e5d,159363e6cefe4766,5f427e7b1456da70,200,200,108,55,53,54,1,0,0,2.121426075475177,386.29501375543407,0.7776884194313228,3631.2433793264713,54,1,0,0,0,68,44,24,1971.1844600969926,196.1728308815509,1.816415100755101,3.035208908841014,114,27,stability_delay_energy_v4,0.5092592592592593,0.5,0.01818181818181818,0.5,0.009259259259259259,0.0
system_poisson:poisson_lifecycle_v1:scale:f1d09cd36f834fbb:periodic_customized:r9:s20260728,scale,small_periodic_customized_per_key,small_per_key,periodic_customized,9,20260728,system_poisson,poisson_lifecycle_v1,periodic_customized,customized,p12_g4_a64,prewarm,measured,measured,fixed_per_key,0.5,f5939a5d6acc0580,e6cb0779bea5536f,af52284609acf521,58651f60c37cc329,200,200,93,36,57,34,2,1,0,1.2560876252076385,557.1542024479714,0.7923089462860541,3341.318646811482,34,2,0,0,0,60,20,40,1829.1098821209744,135.73495985474437,1.4595156973628427,2.2192090982571244,34,8,stability_delay_energy_v4,0.3870967741935484,0.3655913978494624,0.05555555555555555,0.3655913978494624,0.021505376344086023,0.0
